order_detail_id,order_id,product_id,quantity
1,14696,110,2
2,13339,112,5
3,12589,120,1
4,11783,123,3
5,13521,116,1
6,11780,105,5
7,13133,116,3
8,13574,112,4
9,13219,106,3
10,13758,105,3
11,14017,101,3
12,12838,119,3
13,12382,110,3
14,14240,114,5
15,13937,121,3
16,14429,103,5
17,11420,106,3
18,14151,105,3
19,11331,117,5
20,12918,118,3
21,11447,112,2
22,11441,105,3
23,13745,109,4
24,12845,112,5
25,14176,120,3
26,10865,109,3
27,10472,103,5
28,11503,101,1
29,14685,122,2
30,11411,115,2
31,13771,110,3
32,11906,114,5
33,14660,107,4
34,14002,104,3
35,13505,105,2
36,13484,120,3
37,14563,116,5
38,10599,103,4
39,10992,117,1
40,11933,113,4
41,12785,106,3
42,13042,105,2
43,10067,116,5
44,13399,111,3
45,12751,117,1
46,10470,105,5
47,11725,106,5
48,13986,110,5
49,11632,121,3
50,10775,101,1
51,13013,121,3
52,12504,110,5
53,11487,117,5
54,14020,103,2
55,14228,102,4
56,10930,117,3
57,13013,104,1
58,11506,102,5
59,14730,105,3
60,12945,110,4
61,12820,101,3
62,11185,101,4
63,10289,104,3
64,11812,107,2
65,10528,114,3
66,10917,114,2
67,11709,118,4
68,13575,102,5
69,13320,101,5
70,11407,121,3
71,11242,122,1
72,13134,116,3
73,10799,122,2
74,11524,118,2
75,14108,116,4
76,14929,123,3
77,12889,122,4
78,12691,106,1
79,14092,110,5
80,11242,102,5
81,10691,107,3
82,10528,121,4
83,11496,117,4
84,13826,103,1
85,12894,120,4
86,10893,112,2
87,10387,102,2
88,11250,107,2
89,12529,117,3
90,14504,119,2
91,13529,112,2
92,10898,109,5
93,10711,114,3
94,13696,102,2
95,12687,121,1
96,14513,104,2
97,10416,119,3
98,11472,121,4
99,14181,116,5
100,14263,122,5
101,12432,117,3
102,12516,102,2
103,11096,117,1
104,10810,119,2
105,13045,108,2
106,10993,120,1
107,11282,106,5
108,14371,112,2
109,11774,123,4
110,13562,118,4
111,13817,102,3
112,11757,119,3
113,12374,110,1
114,12577,103,1
115,10892,112,3
116,14185,116,2
117,10708,112,5
118,12398,108,4
119,14483,105,1
120,12135,111,3
121,12355,110,4
122,14536,103,1
123,10977,123,1
124,10735,109,2
125,12469,112,1
126,12541,106,5
127,10633,119,1
128,14269,116,5
129,14100,121,2
130,12902,123,5
131,11664,114,4
132,12016,104,1
133,13182,118,3
134,14064,110,3
135,12631,118,5
136,13873,112,2
137,11055,119,5
138,10381,108,5
139,13083,101,5
140,12392,114,4
141,11593,123,4
142,14262,106,5
143,12748,114,2
144,12390,102,1
145,13554,109,3
146,13028,112,4
147,11208,105,1
148,13854,102,4
149,10545,119,4
150,13082,107,4
151,13664,107,5
152,12240,110,5
153,12368,117,4
154,13774,114,4
155,12628,111,3
156,13932,120,1
157,12475,106,1
158,13131,108,2
159,13508,119,2
160,10097,119,2
161,13859,117,5
162,12709,118,5
163,13337,112,3
164,10457,109,5
165,14369,123,2
166,12988,116,4
167,14089,118,2
168,13885,116,3
169,11032,116,4
170,10208,104,5
171,11938,123,4
172,11147,122,3
173,14300,107,5
174,12565,101,1
175,10443,123,2
176,14785,120,2
177,10833,101,3
178,11462,108,3
179,13517,123,2
180,11160,108,4
181,10387,110,1
182,12042,101,1
183,12554,121,3
184,11719,121,3
185,14776,114,4
186,14051,114,3
187,13410,110,1
188,10690,119,2
189,11170,116,1
190,14989,109,4
191,10953,120,2
192,14880,116,2
193,14591,120,1
194,13497,108,2
195,13918,107,2
196,14843,111,3
197,12485,121,2
198,11855,106,4
199,13440,115,2
200,13232,119,3
201,12598,114,5
202,13984,115,5
203,12192,106,4
204,12636,110,4
205,10657,114,2
206,13813,116,2
207,13341,113,5
208,13912,111,5
209,11797,103,1
210,14364,108,5
211,11763,103,5
212,14473,102,4
213,13286,121,1
214,11586,114,1
215,13564,120,2
216,12441,121,2
217,14585,122,1
218,14818,115,1
219,13101,103,2
220,13245,101,4
221,11041,115,4
222,13128,120,4
223,12274,122,4
224,13630,102,2
225,12115,118,3
226,11678,101,5
227,13095,109,5
228,10999,103,5
229,12285,102,5
230,11590,104,2
231,11162,116,3
232,12521,122,2
233,13856,101,3
234,14649,109,2
235,10695,108,1
236,14413,106,3
237,14864,120,5
238,13799,118,3
239,13684,116,4
240,11972,108,3
241,11504,123,4
242,13250,104,4
243,14219,103,1
244,13243,115,3
245,11869,106,1
246,11672,101,5
247,11083,118,3
248,11729,123,2
249,13852,111,2
250,12143,103,2
251,11149,113,4
252,10254,117,2
253,14103,118,5
254,13543,114,3
255,12776,107,3
256,14638,107,4
257,13334,114,4
258,14185,115,4
259,13280,112,5
260,14309,112,3
261,12882,108,1
262,10266,116,4
263,12341,109,2
264,13149,102,1
265,13360,114,1
266,11005,116,4
267,12095,105,2
268,14718,105,4
269,13272,120,4
270,14523,121,2
271,10210,118,1
272,10888,118,1
273,10154,105,2
274,13594,111,1
275,10415,113,5
276,13425,103,4
277,11285,117,5
278,13149,118,5
279,10769,114,5
280,10983,112,3
281,13203,114,3
282,14675,118,5
283,13527,120,4
284,12788,102,5
285,12211,107,5
286,11039,115,3
287,13933,110,5
288,10542,115,4
289,10359,117,4
290,10850,111,5
291,14523,102,4
292,12545,121,5
293,14582,118,3
294,11832,104,5
295,11473,109,1
296,11437,117,3
297,10330,117,4
298,14355,117,4
299,14239,116,3
300,14009,120,1
301,14723,108,3
302,11389,123,2
303,14186,115,1
304,10720,101,3
305,13236,119,2
306,14577,115,5
307,12132,109,1
308,11101,105,5
309,10673,116,2
310,10517,113,4
311,12533,116,4
312,13671,122,4
313,10782,111,5
314,13524,113,1
315,13559,106,5
316,12387,120,5
317,14783,117,4
318,11590,105,5
319,14996,117,2
320,11502,101,3
321,13795,105,3
322,14319,105,3
323,13081,107,4
324,11077,116,4
325,11101,118,3
326,10503,106,1
327,11340,102,3
328,13886,113,5
329,10624,110,3
330,11887,121,3
331,13351,120,1
332,11051,111,4
333,13773,121,4
334,13917,102,5
335,14019,108,3
336,11330,122,2
337,14115,119,5
338,13368,120,4
339,13952,117,1
340,12498,116,4
341,11574,110,4
342,12635,105,1
343,12769,114,3
344,11212,119,3
345,10776,104,4
346,11161,120,5
347,12384,116,2
348,12655,115,5
349,13541,109,5
350,14698,103,4
351,14636,123,4
352,11096,109,2
353,10024,118,2
354,14720,104,2
355,13557,119,4
356,11080,104,4
357,14319,109,5
358,10179,101,4
359,12848,101,3
360,11961,120,3
361,11474,119,2
362,14889,103,4
363,14980,110,3
364,11213,112,5
365,10810,118,1
366,10420,114,5
367,13660,110,1
368,13817,110,5
369,11279,118,3
370,12524,101,4
371,11441,115,1
372,11341,108,4
373,12222,103,4
374,12393,118,3
375,11362,109,2
376,10592,116,2
377,10527,121,1
378,12504,115,3
379,11293,105,4
380,11655,113,5
381,14907,122,5
382,10188,120,1
383,12759,107,1
384,10529,116,1
385,10434,107,3
386,13513,122,5
387,11805,116,3
388,10303,113,3
389,14183,117,4
390,10438,109,3
391,12589,112,3
392,10833,113,4
393,10797,109,2
394,10560,105,4
395,13589,107,1
396,10762,101,2
397,13575,104,5
398,13786,104,3
399,12515,116,2
400,10685,105,5
401,14234,122,4
402,10578,104,4
403,14806,106,1
404,10228,123,1
405,12329,103,2
406,12732,108,3
407,10828,117,4
408,10431,118,2
409,11064,118,2
410,11710,112,2
411,11235,101,1
412,10302,123,4
413,11421,112,1
414,14629,111,1
415,10769,113,2
416,11405,103,5
417,10444,108,5
418,13105,103,5
419,14356,117,2
420,13306,113,3
421,11539,110,4
422,13931,117,2
423,11332,103,2
424,10070,113,1
425,13436,122,5
426,10481,106,2
427,14095,114,3
428,13497,110,4
429,12794,120,3
430,12893,116,2
431,11199,118,2
432,12373,113,1
