order_id,customer_id,order_date
10001,264,2025-04-27
10002,171,2024-07-05
10003,460,2025-10-17
10004,1,2024-09-18
10005,313,2024-12-29
10006,64,2025-05-05
10007,374,2025-03-06
10008,468,2024-08-26
10009,284,2024-10-30
10010,121,2024-10-24
10011,107,2024-03-16
10012,421,2025-11-30
10013,175,2024-11-28
10014,485,2025-10-03
10015,204,2025-04-18
10016,165,2024-10-09
10017,305,2025-08-13
10018,497,2024-03-12
10019,120,2024-09-19
10020,44,2025-12-03
10021,312,2025-07-28
10022,156,2024-01-12
10023,367,2024-05-20
10024,207,2025-07-08
10025,390,2024-01-17
10026,108,2024-03-03
10027,251,2024-09-09
10028,445,2025-04-09
10029,404,2025-01-10
10030,370,2025-06-03
10031,334,2024-03-30
10032,130,2025-12-20
10033,457,2025-09-21
10034,293,2024-06-23
10035,20,2024-03-16
10036,282,2025-09-04
10037,285,2025-10-24
10038,1,2025-02-03
10039,119,2024-03-11
10040,35,2024-06-28
10041,198,2024-05-03
10042,485,2025-01-15
10043,245,2024-10-19
10044,59,2024-07-13
10045,325,2024-08-15
10046,161,2025-03-06
10047,497,2025-03-11
10048,179,2025-04-05
10049,206,2025-09-09
10050,12,2024-01-21
10051,490,2024-03-04
10052,276,2024-06-13
10053,181,2024-01-27
10054,242,2024-11-06
10055,216,2024-10-11
10056,251,2025-10-21
10057,299,2024-10-07
10058,126,2024-06-12
10059,482,2024-08-11
10060,217,2024-05-25
10061,306,2024-01-30
10062,285,2024-02-14
10063,185,2025-04-15
10064,39,2024-02-03
10065,223,2025-10-14
10066,184,2025-03-02
10067,495,2024-08-08
10068,427,2025-06-17
10069,178,2025-11-22
10070,407,2025-01-01
10071,428,2025-07-03
10072,294,2025-08-04
10073,340,2024-04-25
10074,151,2024-08-26
10075,384,2024-11-30
10076,126,2025-03-16
10077,301,2024-05-27
10078,308,2024-01-09
10079,336,2024-10-14
10080,434,2025-01-22
10081,234,2024-02-19
10082,380,2025-05-31
10083,375,2025-09-29
10084,8,2025-08-09
10085,498,2025-11-07
10086,341,2024-10-04
10087,129,2024-10-26
10088,264,2025-08-11
10089,157,2025-10-10
10090,352,2025-09-09
10091,358,2025-08-29
10092,5,2024-05-14
10093,495,2025-08-02
10094,86,2024-05-26
10095,175,2025-05-04
10096,290,2025-04-22
10097,193,2024-06-07
10098,311,2025-01-18
10099,119,2024-06-11
10100,218,2025-03-16
10101,427,2024-07-07
10102,458,2025-02-18
10103,414,2024-12-04
10104,114,2025-08-29
10105,466,2024-06-29
10106,145,2024-10-14
10107,26,2024-07-05
10108,136,2024-05-17
10109,303,2024-05-09
10110,232,2024-07-12
10111,369,2024-11-11
10112,76,2024-05-23
10113,475,2024-01-16
10114,328,2024-10-28
10115,345,2025-02-26
10116,302,2024-09-01
10117,452,2024-04-16
10118,289,2024-03-28
10119,1,2024-05-08
10120,147,2024-12-06
10121,287,2024-01-04
10122,464,2024-11-22
10123,142,2025-02-13
10124,53,2024-11-01
10125,304,2025-08-29
10126,69,2025-12-21
10127,361,2024-08-12
10128,90,2024-12-13
10129,446,2024-11-16
10130,220,2025-07-12
10131,450,2024-06-29
10132,498,2025-09-09
10133,192,2025-12-11
10134,454,2025-01-20
10135,63,2025-09-09
10136,73,2024-04-17
10137,161,2025-06-14
10138,169,2025-02-13
10139,89,2024-10-22
10140,176,2024-06-19
10141,269,2024-11-26
10142,73,2025-05-07
10143,245,2024-07-13
10144,77,2024-01-12
10145,159,2024-07-13
10146,489,2025-05-04
10147,459,2024-06-30
10148,324,2025-10-17
10149,98,2024-11-11
10150,381,2025-11-24
10151,102,2024-01-30
10152,494,2025-08-18
10153,132,2025-11-08
10154,102,2024-04-05
10155,19,2025-01-15
10156,454,2025-03-19
10157,482,2024-10-24
10158,82,2024-12-26
10159,397,2025-01-08
10160,489,2025-07-07
10161,279,2024-10-29
10162,339,2025-02-24
10163,365,2024-09-02
10164,331,2025-12-20
10165,129,2024-08-24
10166,344,2025-06-17
10167,310,2024-07-03
10168,455,2025-04-12
10169,89,2024-12-28
10170,213,2024-10-09
10171,143,2025-07-06
10172,65,2024-12-01
10173,76,2024-06-10
10174,199,2024-06-08
10175,143,2025-04-18
10176,405,2025-08-23
10177,403,2024-11-17
10178,316,2024-01-12
10179,93,2025-02-27
10180,473,2024-03-13
10181,417,2025-08-10
10182,305,2024-07-19
10183,224,2025-06-05
10184,497,2025-05-19
10185,291,2025-11-18
10186,428,2024-02-08
10187,102,2024-02-29
10188,474,2025-07-31
10189,267,2024-11-16
10190,355,2025-03-10
10191,456,2025-09-27
10192,110,2025-11-06
10193,462,2025-02-11
10194,330,2025-01-20
10195,450,2025-11-01
10196,430,2025-07-22
10197,265,2024-03-18
10198,3,2024-07-12
10199,85,2024-10-11
10200,282,2025-06-10
10201,328,2025-06-07
10202,304,2025-09-04
10203,450,2024-06-04
10204,454,2024-12-05
10205,412,2024-05-04
10206,117,2024-10-06
10207,221,2025-09-13
10208,154,2025-10-19
10209,153,2025-12-28
10210,12,2025-11-04
10211,133,2024-05-07
10212,482,2024-11-09
10213,304,2024-11-27
10214,293,2024-05-29
10215,463,2025-03-29
10216,300,2024-02-05
10217,228,2025-11-15
10218,271,2025-02-23
10219,43,2024-01-22
10220,432,2024-07-24
10221,343,2025-09-30
10222,326,2024-12-21
10223,302,2025-03-15
10224,498,2025-12-29
10225,364,2024-04-05
10226,379,2024-06-12
10227,427,2024-05-27
10228,493,2025-06-13
10229,21,2024-10-20
10230,407,2024-07-13
10231,107,2025-10-24
10232,336,2025-04-24
10233,303,2024-05-02
10234,117,2025-02-03
10235,124,2025-11-29
10236,399,2025-03-27
10237,281,2025-10-22
10238,292,2024-04-13
10239,203,2025-04-06
10240,51,2025-12-18
10241,271,2025-12-10
10242,324,2025-01-30
10243,277,2024-12-02
10244,141,2025-08-21
10245,470,2024-05-21
10246,275,2024-11-12
10247,290,2025-12-11
10248,334,2025-07-11
10249,381,2025-06-10
10250,452,2025-07-09
10251,496,2025-02-04
10252,373,2025-11-11
10253,52,2024-11-05
10254,494,2025-05-09
10255,27,2025-07-09
10256,157,2025-09-01
10257,239,2024-04-18
10258,156,2025-01-06
10259,291,2025-09-07
10260,136,2024-07-24
10261,144,2024-02-12
10262,106,2024-09-01
10263,420,2024-10-13
10264,158,2024-12-20
10265,146,2025-04-20
10266,2,2024-03-23
10267,433,2024-04-19
10268,77,2024-07-08
10269,132,2024-09-07
10270,90,2025-12-24
10271,345,2024-10-17
10272,350,2025-10-06
10273,459,2024-07-19
10274,263,2024-11-21
10275,351,2025-05-25
10276,108,2025-02-12
10277,74,2025-08-29
10278,39,2025-05-22
10279,397,2025-08-23
10280,159,2024-03-12
10281,71,2024-09-03
10282,447,2025-10-02
10283,312,2025-12-24
10284,241,2025-08-30
10285,426,2025-08-09
10286,445,2025-07-19
10287,298,2024-12-09
10288,440,2024-02-23
10289,36,2025-12-30
10290,84,2025-06-11
10291,452,2025-09-02
10292,374,2025-06-15
10293,263,2025-07-11
10294,310,2024-07-11
10295,385,2024-02-27
10296,172,2025-03-12
10297,376,2024-04-20
10298,173,2024-05-08
10299,362,2025-12-06
10300,47,2024-11-21
10301,379,2024-01-08
10302,141,2024-01-29
10303,375,2024-04-21
10304,406,2025-11-03
10305,118,2024-05-10
10306,277,2024-07-06
10307,214,2025-11-05
10308,220,2025-12-09
10309,393,2025-04-19
10310,26,2024-12-29
10311,9,2024-07-22
